sku,qty
SKU0123,57
SKU0003,456
SKU0163,328
SKU0109,8
SKU0013,306
sku0108,332
SKU0018,299
SKU0169,149
SKU0111,257
SKU0177,478
SKU0178,313
SKU0031,176
SKU0142,161
SKU0019,166
sku0152,331
SKU0014,402
sku0004,344
SKU0001,440
SKU0137,282
SKU0025,375
SKU0161,74
SKU0212,479
SKU0106,270
sku0006,98
SKU0213,133
SKU0129,82
SKU0197,136
SKU0194,159
SKU0105,315
sku0206,403
SKU0220,94
SKU0175,107
SKU0116,426
SKU0007,344
SKU0187,327
sku0184,129
SKU0039,244
SKU0151,83
SKU0155,22
sku0208,218
SKU0010,73
SKU0002,410
SKU0176,293
SKU0119,465
SKU0205,155
SKU0144,273
SKU0045,28
SKU0143,70
SKU0030,170
sku0024,409
SKU0110,125
SKU0028,480
SKU0219,317
SKU0127,293
SKU0015,116
SKU0188,139
SKU0026,72
SKU0145,91
SKU0195,24
SKU0040,86
SKU0043,169
SKU0160,435
SKU0027,78
SKU0128,333
SKU0182,474
SKU0011,393
SKU0215,495
SKU0120,212
SKU0193,237
SKU0181,186
SKU0158,377
sku0042,328
sku0121,217
SKU0168,295
SKU0147,296
SKU0139,222
SKU0186,384
SKU0172,306
SKU0156,155
SKU0134,145
SKU0203,477
SKU0114,42
SKU0148,4
SKU0118,425
SKU0107,431
SKU0021,231
sku0100,346
SKU0101,457
SKU0146,192
SKU0153,477
SKU0141,191
SKU0117,174
SKU0113,9
sku0104,89
SKU0191,402
SKU0126,63
SKU0102,402
SKU0210,451
SKU0170,31
SKU0174,124
SKU0016,338
sku0037,54
SKU0035,263
sku0140,97
SKU0204,54
SKU0159,162
SKU0216,262
sku0189,364
SKU0214,56
SKU0199,2
SKU0009,454
sku0162,356
sku0115,144
SKU0202,34
SKU0207,207
SKU0183,203
SKU0179,169
SKU0133,461
SKU0131,370
sku0022,175
sku0103,322
SKU0036,384
SKU0005,499
sku0165,467
SKU0157,399
SKU0038,40
SKU0209,393
SKU0135,426
SKU0012,387
SKU0020,84
sku0124,105
SKU0138,49
SKU0023,256
SKU0185,204
sku0190,97
SKU0032,382
SKU0017,1
SKU0166,10
SKU0033,303
SKU0150,466
SKU0130,471
SKU0164,180
SKU0201,144
SKU0218,125
SKU0034,435
SKU0196,284
SKU0136,306
SKU0171,481
SKU0173,17
SKU0167,275
SKU0041,475
SKU0132,93
sku0154,375
SKU0192,44
SKU0149,177
SKU0112,400
SKU0211,61
SKU0125,400
sku0180,42
sku0200,139
SKU0198,366
SKU0029,114
SKU0122,342
SKU0008,54
SKU0217,274
SKU0044,370
