amount,order_id,date
826.58,2654,2026-04-01
551.90,2729,2026-05-22
977.36,1853,2026-06-05
76.03,1257,2026-06-02
1278.35,2761,2026-05-20
1953.48,2915,2026-06-03
1043.28,2246,2026-05-11
941.77,1867,2026-04-05
534.03,1453,2026-05-04
437.47,3671,2026-04-12
1962.86,4372,2026-06-04
1304.23,3559,2026-06-07
1832.72,3785,2026-04-24
1800.99,2345,2026-06-24
80.44,3722,2026-05-05
1884.05,4517,2026-04-17
1761.15,4614,2026-06-17
1057.37,2094,2026-04-19
1803.80,2616,2026-04-11
1155.89,4204,2026-06-05
223.82,2553,2026-05-05
1224.71,1938,2026-04-15
1986.78,2732,2026-06-28
1987.60,1314,2026-06-03
272.15,2657,2026-05-25
580.03,4049,2026-04-04
1972.48,3739,2026-06-02
474.21,2713,2026-05-10
779.90,1026,2026-06-27
307.08,4571,2026-06-13
1418.30,2900,2026-06-25
1395.65,1887,2026-06-11
781.64,3191,2026-04-10
490.17,1387,2026-04-16
1198.59,2415,2026-05-05
976.40,4258,2026-05-15
1516.71,1089,2026-04-09
1556.15,2519,2026-04-11
1053.74,3886,2026-04-10
1785.32,2472,2026-04-25
