date,amount,order_id
2026-07-09,1187.36,1038
2026-09-24,1289.71,2073
2026-09-20,741.78,3311
2026-08-20,1867.78,4356
2026-08-28,1960.47,1628
2026-08-22,607.13,1141
2026-07-22,46.98,2768
2026-08-28,1941.25,1740
2026-08-02,711.19,2137
2026-07-01,762.88,1269
2026-08-13,1671.26,4127
2026-09-06,844.62,1617
2026-09-26,1492.01,3805
2026-08-09,741.06,3983
2026-09-07,1370.24,4391
2026-08-28,797.69,2485
2026-07-17,1329.01,4671
2026-08-08,843.85,3672
2026-09-02,112.45,3330
2026-07-23,1417.46,2946
2026-09-16,575.62,1681
2026-09-12,1248.42,3041
2026-07-12,1887.82,4456
2026-07-25,277.21,4587
2026-08-24,132.61,3090
2026-07-20,1524.24,2275
2026-07-18,127.18,4556
2026-09-15,547.62,4563
2026-08-27,767.53,1742
2026-07-18,1569.50,3830
2026-09-18,1022.24,3173
2026-08-24,840.00,3799
2026-07-23,113.73,4575
2026-09-27,1170.57,1024
2026-07-06,514.44,4906
2026-09-06,1060.57,1344
2026-09-24,578.14,1270
2026-09-19,1758.37,1131
2026-07-18,1128.56,3357
2026-09-03,389.95,2416
