order_id,zip_code,category,amount,shipped_at
1001,02134,books,49.99,2026-03-15T02:00:00+05:00
1002,07030,toys,89.50,2026-03-14T22:30:00-04:00
1003,01950,electronics,17.25,2026-03-15T01:00:00+03:00
1004,10001,electronics,204.00,2026-03-14T20:00:00-06:00
1005,01950,grocery,45.00,2026-01-22T12:46:00-05:00
1006,10001,grocery,45.01,2026-01-03T09:13:00+02:00
1007,00501,grocery,45.00,2026-02-07T03:12:00+00:00
1008,60614,grocery,45.01,2026-02-04T17:20:00-08:00
1009,10001,grocery,45.00,2026-01-21T22:39:00-08:00
1010,02134,grocery,45.01,2026-02-02T11:51:00-08:00
1011,08901,grocery,45.00,2026-01-07T16:48:00+05:30
1012,00501,grocery,45.01,2026-01-03T15:58:00+09:00
1013,07030,grocery,45.00,2026-02-06T10:15:00-08:00
1014,94103,grocery,45.01,2026-01-12T05:14:00+09:00
1015,08901,grocery,45.00,2026-01-01T07:50:00+09:00
1016,94103,grocery,45.01,2026-02-07T03:33:00-08:00
1017,01950,grocery,45.00,2026-01-24T19:11:00+09:00
1018,01950,grocery,45.01,2026-02-09T00:04:00-08:00
1019,08901,grocery,45.00,2026-01-13T23:02:00+05:30
1020,98101,grocery,45.01,2026-02-11T08:46:00+09:00
1021,94103,grocery,45.00,2026-01-10T16:24:00+00:00
1022,10001,grocery,45.01,2026-02-06T05:11:00+02:00
1023,60614,grocery,45.00,2026-01-13T07:01:00-05:00
1024,07030,grocery,45.01,2026-02-28T23:57:00+05:30
1025,07030,grocery,45.00,2026-02-03T17:13:00+02:00
1026,78701,grocery,45.01,2026-01-04T17:41:00+09:00
1027,07030,grocery,45.00,2026-01-27T11:48:00+05:30
1028,10001,grocery,45.01,2026-02-13T20:20:00+00:00
1029,33101,grocery,45.00,2026-01-26T17:39:00+05:30
1030,02134,grocery,45.01,2026-02-05T21:26:00+09:00
1031,07030,grocery,45.00,2026-02-21T02:05:00-08:00
1032,94103,grocery,45.01,2026-01-20T02:26:00+05:30
1033,60614,grocery,45.00,2026-01-13T19:26:00+09:00
1034,01950,grocery,45.01,2026-02-21T23:07:00+02:00
1035,07030,grocery,45.00,2026-02-23T00:02:00+09:00
1036,01950,grocery,45.01,2026-02-27T05:03:00-08:00
1037,07030,grocery,45.00,2026-02-01T23:47:00+00:00
1038,33101,grocery,45.01,2026-02-26T12:03:00+09:00
1039,00501,grocery,45.00,2026-02-02T18:44:00-08:00
1040,98101,grocery,45.01,2026-02-15T06:16:00+00:00
1041,00501,grocery,45.00,2026-02-10T22:39:00+05:30
1042,08901,grocery,45.01,2026-02-17T01:44:00+02:00
1043,33101,grocery,45.00,2026-01-05T11:08:00-08:00
1044,02134,grocery,45.01,2026-01-14T12:28:00+09:00
1045,94103,grocery,45.00,2026-02-06T10:19:00-05:00
1046,07030,grocery,45.01,2026-01-10T06:07:00-05:00
1047,60614,grocery,45.00,2026-02-16T08:36:00-08:00
1048,06510,grocery,45.01,2026-01-14T23:41:00+02:00
1049,02134,grocery,45.00,2026-02-21T13:39:00-05:00
1050,02134,grocery,45.01,2026-01-15T23:09:00+05:30
1051,94103,grocery,45.00,2026-02-23T03:49:00+05:30
1052,06510,grocery,45.01,2026-02-09T00:51:00+05:30
1053,78701,grocery,45.00,2026-02-20T19:31:00-08:00
1054,07030,grocery,45.01,2026-01-19T00:33:00+09:00
1055,00501,grocery,45.00,2026-01-18T23:49:00-08:00
1056,07030,grocery,45.01,2026-02-14T07:07:00+02:00
1057,98101,grocery,45.00,2026-02-15T10:40:00-08:00
1058,07030,grocery,45.01,2026-01-09T16:36:00+02:00
1059,06510,grocery,45.00,2026-02-21T08:49:00-05:00
1060,94103,grocery,45.01,2026-01-08T00:22:00-08:00
1061,94103,grocery,45.00,2026-02-16T06:06:00+00:00
1062,10001,grocery,45.01,2026-02-03T00:13:00-05:00
1063,06510,grocery,45.00,2026-01-21T04:30:00-08:00
1064,00501,grocery,45.01,2026-01-19T19:27:00-08:00
1065,98101,grocery,45.00,2026-02-17T21:46:00-05:00
1066,00501,grocery,45.01,2026-02-27T17:06:00-05:00
1067,94103,grocery,45.00,2026-01-11T08:34:00-08:00
